region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed
Central USA,Wheat,17.78,5.95,32.43,155.12,84.34,6.23,Manual,Inorganic,43.3,145,4537.59,21.805492,73.890876,0.37,Severe,1
East Africa,Maize,24.46,7.24,18.02,298.09,57.13,9.92,Unknown,Organic,19.24,139,2323.25,25.775819,73.536485,0.68,Healthy,1
South USA,Maize,17.33,7.05,26.53,89.61,79.26,8.68,Sprinkler,Mixed,24.52,117,5861.31,10.116728,80.675652,0.74,Healthy,1
Central USA,Soybean,16.67,6.85,27.53,112.21,74.68,6.07,Sprinkler,Organic,22.26,100,2261.15,17.455056,75.816556,0.74,Moderate,1
South USA,Rice,22.0,7.3,22.19,97.11,87.4,9.51,Unknown,Organic,15.28,103,4936.31,22.615839,72.46324,0.73,Healthy,1
South USA,Maize,36.99,6.75,26.88,61.99,45.41,9.02,Drip,Mixed,10.21,97,4189.13,27.546705,74.109898,0.71,Healthy,1
Central USA,Cotton,33.16,6.82,20.4,201.41,46.86,8.98,Drip,Mixed,37.34,97,5139.04,14.966167,73.994988,0.46,Mild,1
Central USA,Cotton,20.34,5.58,24.93,101.92,86.66,5.98,Drip,Organic,35.22,126,4676.09,33.73615,85.590524,0.35,Healthy,1
Central USA,Rice,25.99,7.45,20.28,62.52,80.66,9.24,Manual,Inorganic,41.07,137,2463.6,10.241808,72.767889,0.69,Moderate,1
Central USA,Cotton,43.43,6.04,29.66,143.16,57.14,4.68,Unknown,Inorganic,17.23,144,3912.98,26.221162,85.938191,0.37,Healthy,0
South India,Wheat,24.56,6.68,31.05,219.6,49.06,6.28,Manual,Mixed,6.3,136,5893.78,22.076991,79.762456,0.83,Severe,1
North India,Wheat,19.16,6.13,29.09,219.48,78.38,7.46,Sprinkler,Mixed,44.29,134,4802.32,20.821198,84.533039,0.59,Severe,1
South India,Soybean,41.22,6.73,15.23,283.59,65.28,6.82,Unknown,Organic,8.37,105,3323.58,11.258768,74.45413,0.69,Severe,0
South India,Wheat,26.07,7.1,23.96,264.15,62.35,4.71,Unknown,Mixed,34.4,116,2143.33,10.004243,71.817911,0.66,Moderate,1
East Africa,Soybean,17.24,6.84,34.01,140.84,42.71,5.34,Unknown,Inorganic,30.21,120,4866.63,27.897838,72.280467,0.76,Mild,1
North India,Maize,22.43,6.77,31.0,186.92,58.69,4.64,Sprinkler,Inorganic,11.32,136,3636.84,25.271294,73.750868,0.86,Severe,1
South India,Cotton,38.86,5.88,21.76,239.29,42.33,7.8,Drip,Inorganic,25.58,98,5855.42,23.259109,70.971432,0.86,Severe,0
East Africa,Rice,34.21,5.85,31.3,75.89,72.88,7.64,Manual,Mixed,44.66,148,4770.06,16.839897,89.271871,0.88,Severe,0
South India,Rice,24.45,6.9,29.97,124.73,75.07,9.16,Sprinkler,Organic,14.44,133,3381.17,34.533387,83.001728,0.87,Moderate,1
North India,Maize,29.68,6.67,33.85,227.53,73.71,9.36,Manual,Inorganic,41.37,91,3523.48,26.756354,73.998048,0.75,Mild,1
Central USA,Maize,15.12,5.62,30.69,101.0,67.06,6.15,Unknown,Organic,32.72,125,5459.37,26.177986,77.777733,0.61,Moderate,1
North India,Cotton,23.56,7.41,34.52,128.16,67.61,4.08,Manual,Organic,32.93,104,5645.95,27.738636,77.354822,0.65,Mild,1
South India,Maize,25.71,7.47,16.49,290.62,76.75,4.72,Drip,Inorganic,17.56,100,4335.94,10.141128,79.326627,0.86,Healthy,1
South India,Maize,30.89,7.05,27.51,260.78,55.06,8.74,Manual,Organic,40.28,104,5827.95,11.704412,80.102807,0.55,Severe,1
North India,Maize,17.74,5.93,21.64,140.2,50.92,8.52,Unknown,Mixed,42.07,97,4675.75,16.008697,82.845287,0.85,Mild,1
North India,Maize,23.35,7.09,17.27,114.15,76.2,4.15,Manual,Mixed,41.13,92,3185.74,14.81281,80.277894,0.87,Mild,1
East Africa,Soybean,10.26,5.63,28.41,243.4,83.25,6.55,Drip,Organic,29.2,139,3740.95,28.672271,73.075092,0.58,Moderate,1
North India,Wheat,12.56,5.86,20.04,67.61,81.08,9.47,Unknown,Inorganic,25.3,110,2067.56,12.957644,70.117979,0.73,Healthy,1
East Africa,Wheat,34.53,5.65,33.56,76.53,79.34,5.81,Drip,Inorganic,39.44,115,5288.49,21.849692,80.669355,0.38,Severe,0
East Africa,Maize,43.6,5.79,28.55,278.54,79.75,8.38,Manual,Organic,29.91,97,2167.09,24.916372,80.743041,0.87,Moderate,0
South India,Maize,17.41,7.31,32.03,85.61,49.2,7.7,Manual,Organic,10.16,126,5409.0,28.776045,89.801528,0.63,Healthy,1
Central USA,Wheat,18.77,5.89,26.61,287.88,57.86,8.03,Sprinkler,Organic,17.83,110,3943.44,25.408561,76.11351,0.65,Moderate,1
Central USA,Cotton,15.9,6.13,30.71,228.05,72.04,5.66,Manual,Organic,35.58,119,3781.43,17.636795,81.033437,0.41,Healthy,1
Central USA,Rice,41.2,5.89,29.67,206.65,76.37,9.35,Drip,Mixed,31.05,148,2146.63,23.586733,89.974564,0.58,Mild,0
Central USA,Cotton,17.82,7.04,29.66,122.75,63.24,7.06,Unknown,Inorganic,27.6,144,5856.0,28.930152,72.807414,0.4,Mild,1
South USA,Maize,11.41,7.02,19.63,116.09,51.7,8.01,Manual,Inorganic,26.14,92,5922.36,12.580625,89.368828,0.68,Moderate,1
Central USA,Soybean,29.05,5.85,28.07,141.32,72.67,9.01,Manual,Inorganic,48.77,115,3411.59,18.625808,85.853149,0.83,Healthy,1
East Africa,Rice,25.4,5.96,25.29,120.2,47.51,4.94,Drip,Mixed,15.37,97,3926.07,21.975529,81.815818,0.69,Severe,1
North India,Rice,11.51,6.65,18.22,207.39,41.96,7.43,Drip,Organic,16.62,115,4397.43,25.940568,87.57018,0.74,Moderate,1
North India,Rice,25.72,7.49,32.35,92.64,81.52,7.61,Sprinkler,Mixed,34.68,136,4742.36,24.913334,71.376858,0.53,Mild,1
North India,Wheat,17.08,7.22,25.09,154.95,47.48,4.58,Unknown,Mixed,31.99,138,2470.07,26.484815,88.039695,0.62,Healthy,1
South USA,Soybean,24.72,7.25,28.95,157.24,86.92,6.89,Unknown,Inorganic,31.51,143,4786.83,20.637235,75.090361,0.76,Healthy,1
Central USA,Soybean,40.69,6.32,18.78,227.29,79.47,7.47,Drip,Mixed,5.32,134,5217.15,19.056745,73.095572,0.69,Moderate,0
Central USA,Soybean,24.82,6.23,20.51,220.15,77.75,6.48,Unknown,Organic,21.66,106,5954.03,18.608908,84.109892,0.74,Healthy,1
South India,Cotton,37.41,7.4,17.01,177.09,79.3,8.81,Drip,Organic,22.51,141,2364.35,21.791717,82.004909,0.35,Moderate,1
South India,Maize,12.8,5.58,22.69,296.11,70.7,7.13,Drip,Organic,33.81,102,5402.27,22.953832,73.89493,0.77,Mild,1
East Africa,Rice,33.59,6.22,28.1,293.91,44.34,5.66,Unknown,Inorganic,35.13,102,4070.97,27.590548,88.383548,0.63,Moderate,0
Central USA,Maize,17.92,7.43,24.1,150.99,40.23,5.05,Drip,Mixed,8.26,150,2468.04,33.917734,87.522261,0.79,Moderate,1
South USA,Cotton,29.71,7.04,30.15,290.31,62.94,6.76,Drip,Inorganic,10.23,130,5154.62,26.922824,74.598603,0.49,Moderate,1
East Africa,Soybean,10.34,7.16,19.97,73.25,73.68,8.93,Drip,Mixed,46.91,112,2874.26,16.726895,88.942362,0.71,Mild,1
South USA,Rice,18.22,5.98,20.31,107.3,81.75,9.02,Manual,Organic,40.05,133,5823.12,25.345674,85.284884,0.62,Healthy,1
South USA,Maize,31.72,6.48,34.71,274.25,83.44,6.94,Manual,Inorganic,14.99,93,4102.94,21.958002,80.815359,0.6,Severe,0
South India,Cotton,44.18,6.9,24.2,222.3,40.59,5.26,Drip,Inorganic,21.27,125,3051.4,21.783634,82.261681,0.52,Severe,0
South USA,Rice,24.67,7.0,22.3,150.15,62.54,7.43,Sprinkler,Organic,37.44,117,5425.23,13.646093,89.182958,0.39,Healthy,1
South India,Cotton,27.49,7.49,31.99,179.25,76.03,8.71,Manual,Inorganic,30.3,115,2395.9,11.500909,86.276361,0.59,Healthy,1
South USA,Maize,19.09,6.22,26.15,252.5,57.21,6.47,Manual,Mixed,48.34,126,4599.46,14.363471,85.606182,0.51,Severe,1
South USA,Wheat,23.34,6.07,27.63,86.21,48.38,8.85,Manual,Inorganic,33.41,144,5628.29,14.049987,74.564359,0.49,Moderate,1
Central USA,Soybean,32.56,6.04,23.9,265.7,58.16,7.52,Unknown,Inorganic,12.53,136,2938.51,33.510933,84.013939,0.35,Mild,0
South USA,Wheat,13.34,7.37,24.46,63.46,78.55,7.14,Drip,Organic,16.81,131,5726.36,17.734266,74.94793,0.47,Mild,1
South India,Soybean,39.35,5.56,28.27,265.09,56.26,6.86,Manual,Mixed,25.02,101,4363.32,25.776188,82.717023,0.64,Moderate,0
Central USA,Cotton,28.89,7.11,23.84,141.45,52.99,5.82,Drip,Mixed,41.69,108,3876.79,27.194249,79.838633,0.75,Moderate,1
North India,Cotton,37.93,6.69,30.94,187.05,49.43,9.29,Unknown,Inorganic,16.25,131,3558.89,15.514811,71.584195,0.68,Moderate,1
Central USA,Soybean,38.31,6.33,32.07,95.6,54.48,7.82,Unknown,Inorganic,36.52,110,2077.58,34.242905,70.442618,0.88,Moderate,0
Central USA,Rice,35.03,6.95,19.66,87.67,64.68,6.05,Manual,Inorganic,49.91,140,2126.95,31.088657,89.032881,0.33,Severe,0
North India,Soybean,26.46,5.88,31.83,254.31,81.41,4.73,Sprinkler,Inorganic,39.71,137,5978.14,21.520866,85.419919,0.61,Mild,1
South USA,Cotton,33.85,6.12,21.46,207.29,42.11,9.62,Drip,Inorganic,26.66,113,5550.08,26.66737,89.465481,0.44,Severe,1
Central USA,Wheat,15.86,6.05,17.39,247.29,40.45,4.25,Unknown,Mixed,31.83,95,2994.89,12.285039,82.372897,0.86,Healthy,1
North India,Maize,32.56,6.9,30.83,81.46,51.63,9.89,Manual,Inorganic,37.99,114,3432.67,16.267406,70.789771,0.72,Moderate,1
East Africa,Cotton,16.64,5.87,21.95,233.1,53.77,8.99,Sprinkler,Organic,28.9,142,3053.4,21.351974,85.518358,0.6,Mild,1
North India,Soybean,39.99,7.05,19.78,230.25,72.91,7.23,Unknown,Organic,28.58,125,2616.53,18.065001,82.818079,0.37,Healthy,0
North India,Rice,16.25,5.56,17.14,97.9,41.59,7.85,Unknown,Mixed,27.05,127,3023.75,15.51807,84.356904,0.31,Mild,1
South USA,Wheat,26.38,6.78,22.22,235.87,84.52,8.93,Drip,Mixed,16.96,94,5337.83,33.615087,89.211735,0.36,Mild,1
East Africa,Cotton,16.63,6.55,19.98,206.33,48.94,8.5,Unknown,Mixed,9.75,112,4697.97,26.631059,87.65648,0.4,Mild,1
East Africa,Cotton,27.66,6.82,25.68,199.98,86.68,9.41,Manual,Inorganic,23.56,142,4903.47,24.078618,74.278563,0.76,Moderate,1
Central USA,Cotton,25.66,6.29,29.53,295.74,69.79,7.11,Manual,Organic,18.52,144,3259.62,32.977802,80.22543,0.64,Mild,1
North India,Wheat,26.11,5.81,20.3,272.41,52.49,5.54,Manual,Organic,30.67,136,2308.81,29.822605,73.45805,0.8,Healthy,1
East Africa,Maize,11.31,7.12,22.63,245.03,86.09,6.01,Unknown,Inorganic,46.86,139,2906.87,25.847178,82.643872,0.33,Healthy,1
Central USA,Soybean,29.77,6.15,28.96,88.3,73.68,9.98,Unknown,Mixed,30.89,117,3159.13,13.70031,76.723364,0.59,Healthy,1
East Africa,Cotton,19.19,6.3,23.69,224.47,78.1,6.89,Sprinkler,Inorganic,22.79,125,4463.99,23.106195,74.846302,0.46,Severe,1
Central USA,Soybean,13.14,6.84,23.47,137.08,56.04,7.56,Drip,Inorganic,12.62,142,5960.64,25.579554,78.809268,0.85,Mild,1
South India,Maize,15.46,6.96,16.72,234.9,52.15,7.73,Sprinkler,Inorganic,5.62,97,3220.47,10.568703,74.180191,0.62,Mild,1
East Africa,Soybean,36.26,6.6,27.46,298.08,74.75,8.01,Unknown,Mixed,45.77,106,2681.28,15.017401,83.930534,0.46,Severe,1
North India,Wheat,23.6,6.04,32.04,215.03,83.21,4.11,Unknown,Organic,49.09,96,5615.49,31.669319,80.631213,0.41,Severe,1
East Africa,Wheat,11.39,7.34,21.1,172.48,77.22,4.11,Manual,Inorganic,33.14,107,5247.57,16.441984,77.743412,0.9,Healthy,1
East Africa,Maize,17.9,6.18,22.86,84.32,76.49,7.12,Sprinkler,Inorganic,15.82,109,5638.94,21.22923,72.635443,0.69,Mild,1
South India,Maize,34.1,7.3,33.19,157.52,85.45,8.62,Sprinkler,Inorganic,8.05,97,2736.54,28.176988,85.3087,0.83,Severe,1
South USA,Maize,25.51,7.37,32.88,283.31,53.69,8.67,Drip,Organic,13.31,107,4422.42,15.772784,74.643651,0.71,Moderate,1
North India,Cotton,14.69,7.19,24.38,212.39,49.2,6.32,Unknown,Organic,12.37,116,5058.16,33.135877,89.003961,0.43,Mild,1
South India,Wheat,16.2,7.41,23.79,204.26,74.39,9.2,Sprinkler,Inorganic,23.22,137,5297.31,19.853768,88.782783,0.64,Healthy,1
East Africa,Wheat,25.81,7.15,15.85,298.96,65.94,6.37,Drip,Mixed,22.43,102,3164.72,32.109939,85.47354,0.47,Mild,1
South USA,Maize,31.46,5.61,25.34,85.56,81.49,6.71,Drip,Organic,40.04,98,3572.27,21.272146,73.577572,0.65,Mild,0
South USA,Wheat,18.75,6.88,33.14,249.12,75.92,4.74,Drip,Mixed,25.22,123,4829.12,29.776665,80.233329,0.87,Severe,1
East Africa,Cotton,11.54,5.84,21.7,267.83,83.13,4.97,Sprinkler,Organic,39.61,109,3238.07,34.024153,75.775611,0.41,Mild,1
South India,Wheat,31.79,6.01,24.17,263.85,67.18,4.03,Unknown,Organic,14.76,119,3640.61,25.030414,70.13146,0.83,Moderate,0
East Africa,Soybean,38.7,5.92,18.7,63.77,57.45,4.87,Drip,Mixed,31.01,111,5681.54,12.722191,89.874704,0.4,Moderate,0
East Africa,Soybean,30.03,6.62,34.33,237.33,58.01,4.22,Manual,Inorganic,21.59,94,5033.77,11.623147,79.416337,0.37,Moderate,0
Central USA,Soybean,24.48,5.92,19.18,64.55,68.57,9.88,Drip,Inorganic,37.58,135,3148.75,16.491501,81.502854,0.67,Mild,1
East Africa,Soybean,27.37,6.96,24.95,252.0,84.18,5.4,Manual,Organic,5.07,130,5186.93,29.989109,89.97974,0.55,Moderate,1
Central USA,Soybean,38.21,5.92,27.81,222.5,52.72,4.41,Manual,Mixed,29.75,133,3333.13,28.109916,82.319867,0.32,Mild,0
South India,Maize,39.18,7.34,24.58,168.63,41.78,4.81,Sprinkler,Mixed,25.73,119,5135.96,33.194749,71.120446,0.61,Moderate,0
East Africa,Soybean,10.66,6.65,21.63,279.05,79.79,4.4,Sprinkler,Inorganic,42.83,130,4137.09,24.274541,77.791325,0.66,Moderate,1
Central USA,Wheat,19.5,5.67,32.54,142.9,81.47,5.82,Manual,Organic,10.05,102,5653.42,22.649867,85.980506,0.84,Mild,1
South India,Maize,42.33,6.96,25.47,243.88,47.16,9.23,Sprinkler,Organic,37.61,135,5459.24,10.102747,88.646747,0.71,Healthy,0
Central USA,Cotton,41.12,5.71,30.32,236.39,41.12,8.55,Sprinkler,Inorganic,14.02,124,3276.6,26.778101,75.453084,0.39,Healthy,0
North India,Soybean,29.59,5.7,25.85,187.34,53.55,9.66,Manual,Mixed,16.02,129,5568.97,11.268155,70.579854,0.84,Healthy,1
North India,Cotton,11.88,6.35,18.58,199.03,69.64,9.02,Unknown,Mixed,21.0,102,4851.59,30.232496,71.570912,0.85,Severe,1
East Africa,Rice,13.25,7.1,28.97,74.32,55.52,7.87,Unknown,Inorganic,15.43,145,5582.8,32.82154,77.841538,0.72,Moderate,1
Central USA,Cotton,27.06,5.63,17.26,169.66,82.29,5.69,Manual,Mixed,30.86,115,5270.21,12.674532,81.122997,0.34,Moderate,1
East Africa,Cotton,24.03,6.33,27.42,186.99,88.69,6.3,Manual,Organic,41.63,140,5920.82,23.613172,74.723086,0.7,Healthy,1
East Africa,Cotton,14.0,6.69,21.51,74.41,62.26,5.85,Unknown,Organic,31.92,128,5085.37,18.185206,82.899782,0.34,Mild,1
South India,Soybean,41.61,6.77,15.0,86.68,47.46,7.19,Unknown,Mixed,31.01,133,5509.7,24.25691,88.264085,0.48,Severe,0
Central USA,Wheat,30.4,6.72,25.21,261.91,82.63,4.37,Drip,Organic,36.65,145,3128.84,15.881029,84.044438,0.54,Moderate,0
South USA,Cotton,23.35,6.59,28.25,168.72,49.41,6.31,Manual,Inorganic,11.94,98,2046.41,10.392695,84.426785,0.59,Severe,1
South India,Wheat,14.8,7.11,32.2,273.4,74.77,9.58,Sprinkler,Inorganic,27.92,118,3538.86,14.644776,82.091465,0.65,Mild,1
East Africa,Maize,24.38,6.59,22.34,294.56,68.41,8.23,Drip,Mixed,26.67,99,4920.74,34.589477,89.673368,0.77,Severe,1
East Africa,Wheat,28.32,6.72,19.9,207.67,73.19,8.01,Manual,Mixed,7.37,139,2043.13,22.816578,79.384648,0.74,Severe,1
Central USA,Maize,20.12,5.57,33.46,237.36,76.35,7.38,Drip,Mixed,26.29,93,4625.28,30.222394,82.48634,0.47,Healthy,1
South India,Soybean,12.69,7.07,20.04,203.95,53.76,5.54,Drip,Mixed,12.86,99,4636.62,30.196017,75.225052,0.72,Severe,1
South India,Soybean,40.17,6.19,16.69,86.27,86.7,4.92,Unknown,Inorganic,39.67,118,4904.0,15.271419,84.687222,0.51,Moderate,0
North India,Wheat,15.87,6.3,21.03,236.54,77.62,7.2,Unknown,Mixed,36.75,99,4121.77,10.296576,88.544451,0.57,Moderate,1
East Africa,Wheat,13.41,6.56,22.08,261.06,70.52,7.91,Manual,Inorganic,17.16,131,4336.71,29.328775,84.981818,0.74,Mild,1
East Africa,Maize,33.72,7.49,21.27,52.64,40.42,4.41,Unknown,Organic,28.64,112,2877.67,16.297403,70.680835,0.67,Healthy,0
East Africa,Rice,43.27,6.78,29.16,79.99,82.82,4.78,Sprinkler,Organic,36.3,119,4641.91,25.969513,88.453908,0.47,Severe,0
Central USA,Maize,15.67,5.65,30.54,145.7,56.63,4.36,Manual,Organic,24.83,129,3570.54,12.710762,80.812643,0.56,Healthy,1
South USA,Maize,13.62,5.65,26.43,112.65,62.29,9.38,Sprinkler,Mixed,33.82,114,3065.75,18.245772,77.826607,0.3,Severe,1
South USA,Cotton,24.14,6.96,31.25,67.52,51.29,6.31,Unknown,Organic,30.53,133,3211.31,25.806813,89.176478,0.35,Moderate,1
North India,Cotton,36.62,6.08,19.06,188.62,88.38,7.96,Manual,Mixed,22.55,134,3437.04,32.130354,78.759675,0.41,Healthy,0
South India,Wheat,35.19,6.69,24.78,65.75,67.03,5.85,Unknown,Organic,6.67,140,4884.05,12.954678,86.142074,0.7,Severe,0
East Africa,Rice,35.94,5.97,16.44,233.86,64.44,4.11,Drip,Organic,36.56,101,4530.65,30.518481,71.945845,0.67,Healthy,0
North India,Wheat,27.4,7.1,19.41,251.11,61.31,8.87,Unknown,Inorganic,10.44,124,2549.32,34.11731,74.264637,0.33,Mild,1
Central USA,Wheat,14.23,5.78,23.3,224.07,67.67,6.63,Drip,Organic,9.5,114,5110.65,31.990674,71.614452,0.3,Healthy,1
East Africa,Maize,24.57,7.11,30.45,223.09,50.31,7.84,Unknown,Inorganic,15.77,134,2150.48,27.929969,82.240996,0.35,Moderate,1
Central USA,Cotton,10.16,5.97,17.35,182.55,44.78,6.17,Sprinkler,Inorganic,39.66,107,2212.28,29.915324,83.704875,0.88,Severe,1
South USA,Rice,15.59,7.35,16.08,141.05,50.48,5.51,Unknown,Organic,9.7,101,2632.18,22.126535,72.321302,0.84,Severe,1
East Africa,Soybean,21.41,5.9,28.54,131.42,78.95,5.96,Drip,Organic,38.2,147,2882.65,24.627306,71.086787,0.56,Mild,1
East Africa,Cotton,16.23,6.25,24.15,98.54,57.93,5.62,Manual,Organic,6.44,107,2546.01,21.464473,73.424026,0.51,Moderate,1
East Africa,Rice,37.63,6.78,27.23,92.48,88.51,9.13,Drip,Inorganic,43.56,103,4366.32,16.979272,84.600355,0.74,Mild,1
South India,Maize,25.2,5.94,33.55,286.56,85.69,9.39,Unknown,Organic,6.8,139,4016.87,23.278043,79.585387,0.78,Healthy,1
South USA,Cotton,18.42,6.62,15.25,232.95,87.5,4.8,Manual,Organic,34.14,120,4676.14,27.582612,87.158442,0.75,Healthy,1
South USA,Cotton,37.01,7.25,23.11,247.46,58.52,6.79,Drip,Mixed,8.18,123,2130.86,28.8222,83.9611,0.67,Mild,0
North India,Soybean,40.83,6.97,16.1,286.33,73.73,9.33,Drip,Inorganic,21.45,113,3465.73,23.969761,71.340118,0.73,Mild,0
South India,Maize,18.35,5.73,24.57,284.79,69.01,9.75,Sprinkler,Mixed,39.24,147,3069.43,16.928633,71.267384,0.51,Severe,1
East Africa,Soybean,39.03,6.44,25.64,256.34,84.97,6.71,Manual,Mixed,47.54,147,5535.92,12.00426,87.958917,0.47,Healthy,0
North India,Rice,19.66,6.89,24.93,268.75,66.03,7.76,Manual,Inorganic,48.63,120,3386.8,28.442731,70.429646,0.41,Healthy,1
South India,Soybean,32.56,6.32,21.86,211.51,56.32,7.56,Unknown,Inorganic,18.68,109,2686.95,15.669548,77.438046,0.47,Healthy,0
South India,Maize,19.95,7.41,27.37,90.2,66.77,5.09,Sprinkler,Mixed,36.18,99,2645.02,11.028786,76.332517,0.38,Moderate,1
Central USA,Rice,17.18,6.91,28.31,294.51,47.4,6.69,Sprinkler,Mixed,18.57,149,3997.67,33.694726,88.556226,0.39,Moderate,1
Central USA,Cotton,41.36,7.44,30.08,298.52,73.34,8.8,Unknown,Inorganic,36.01,147,2160.32,12.921902,70.495912,0.67,Mild,0
South USA,Maize,13.24,5.61,27.83,195.86,51.11,9.61,Manual,Organic,6.01,118,4708.25,34.395988,77.888472,0.59,Healthy,1
Central USA,Cotton,15.18,7.21,22.39,143.21,54.23,6.11,Unknown,Mixed,8.94,137,5970.39,17.21585,86.113456,0.88,Severe,1
South USA,Rice,39.24,6.7,17.87,125.81,89.42,7.15,Manual,Organic,46.99,114,2353.79,25.97015,75.466577,0.4,Severe,0
East Africa,Rice,16.97,7.16,20.79,172.65,81.14,5.81,Manual,Inorganic,30.17,91,5164.88,16.566926,89.120532,0.8,Severe,1
North India,Maize,24.6,6.48,28.76,111.19,45.97,5.66,Drip,Mixed,38.55,126,3744.27,25.699901,79.520814,0.72,Healthy,1
Central USA,Soybean,35.65,5.54,20.19,195.41,47.31,6.77,Sprinkler,Inorganic,12.35,116,4544.99,11.217873,75.833282,0.68,Healthy,0
East Africa,Rice,36.83,5.87,16.89,238.16,67.19,9.23,Manual,Inorganic,35.84,96,4137.68,30.58287,70.257953,0.61,Moderate,1
South USA,Cotton,21.91,7.32,17.05,88.64,51.06,5.13,Drip,Inorganic,25.72,142,2524.93,21.987956,76.231469,0.52,Severe,1
East Africa,Soybean,36.73,6.18,29.2,57.19,80.73,5.33,Sprinkler,Mixed,15.2,98,5924.44,27.270453,85.680594,0.35,Severe,0
South USA,Wheat,16.87,5.57,28.2,198.29,63.45,9.45,Drip,Organic,18.57,96,5129.48,15.13503,88.023497,0.41,Moderate,1
North India,Wheat,15.09,6.99,20.55,194.94,57.61,9.13,Sprinkler,Mixed,30.66,127,5052.98,27.895291,89.285276,0.4,Healthy,1
North India,Rice,42.22,7.2,24.49,224.53,49.26,8.04,Drip,Organic,42.56,103,4057.0,12.821137,89.692255,0.37,Healthy,0
East Africa,Rice,27.35,6.22,20.77,230.53,44.11,6.96,Unknown,Inorganic,25.56,133,5904.72,15.646836,78.145644,0.89,Severe,1
South India,Wheat,41.32,7.1,33.78,141.86,40.64,8.04,Drip,Inorganic,24.71,95,2476.87,20.015607,81.811145,0.36,Mild,0
North India,Maize,44.13,6.18,26.9,297.67,46.14,9.03,Unknown,Inorganic,39.42,107,5025.21,26.095779,78.004711,0.59,Severe,0
South USA,Soybean,19.76,7.04,17.16,112.67,64.86,7.77,Sprinkler,Organic,9.48,94,3992.54,34.301814,77.65266,0.71,Mild,1
Central USA,Soybean,31.81,7.02,28.22,179.99,64.61,6.8,Manual,Mixed,27.41,124,3374.46,23.513225,70.353408,0.76,Severe,0
North India,Cotton,25.75,7.21,23.85,59.0,48.84,7.96,Manual,Mixed,12.39,109,4862.89,29.100278,81.377104,0.59,Severe,1
South USA,Soybean,39.9,6.51,22.83,173.67,88.54,7.7,Manual,Inorganic,19.42,92,2512.79,18.72192,84.841143,0.32,Moderate,0
South USA,Wheat,24.99,7.48,23.24,64.11,52.21,5.41,Manual,Mixed,8.82,145,3219.65,14.244481,80.768336,0.32,Severe,1
East Africa,Soybean,41.55,6.03,28.92,197.0,89.29,6.27,Unknown,Inorganic,30.76,134,4700.45,22.418285,86.229144,0.7,Mild,0
East Africa,Maize,22.72,6.37,24.94,261.83,79.36,9.04,Sprinkler,Inorganic,16.93,115,5218.41,28.572201,71.839157,0.81,Healthy,1
East Africa,Maize,19.57,6.63,25.62,156.78,57.37,4.46,Manual,Mixed,41.19,124,3253.41,20.057524,82.499278,0.57,Mild,1
North India,Soybean,40.19,6.65,19.26,290.53,77.11,6.8,Unknown,Mixed,37.7,102,3457.1,16.009349,84.92867,0.76,Severe,0
South USA,Maize,40.11,7.32,27.68,261.49,53.35,5.72,Sprinkler,Inorganic,35.91,105,2454.23,10.692604,85.940895,0.49,Severe,0
East Africa,Cotton,24.77,7.31,19.04,118.18,41.46,8.74,Manual,Mixed,29.78,92,5855.15,29.555844,71.106545,0.84,Moderate,1
East Africa,Maize,40.35,7.3,23.14,140.86,72.87,4.54,Sprinkler,Organic,10.04,149,2482.57,33.741863,88.631113,0.45,Healthy,0
South India,Soybean,14.28,7.11,21.59,196.08,59.5,8.49,Sprinkler,Inorganic,14.81,103,5879.69,20.209389,87.257999,0.33,Moderate,1
North India,Maize,29.1,6.45,19.93,119.43,79.21,4.87,Unknown,Mixed,21.55,131,5867.22,31.036824,83.244469,0.86,Mild,1
Central USA,Soybean,23.46,6.78,29.01,275.79,74.26,7.21,Sprinkler,Inorganic,22.48,109,2361.0,28.916698,75.948458,0.82,Mild,1
South USA,Maize,40.78,7.03,23.13,58.47,83.32,8.94,Unknown,Inorganic,38.16,117,5507.04,12.509889,73.206867,0.46,Healthy,0
Central USA,Cotton,31.07,7.13,29.76,163.32,41.37,4.31,Sprinkler,Mixed,24.95,90,3602.65,17.638688,81.516187,0.37,Mild,0
East Africa,Rice,39.64,6.87,30.85,129.85,63.92,8.41,Manual,Organic,35.94,108,2794.65,19.189989,77.869884,0.53,Mild,1
North India,Wheat,42.31,6.79,27.53,276.71,88.71,5.19,Sprinkler,Organic,23.05,106,2597.0,14.253072,81.344858,0.31,Severe,0
South USA,Cotton,14.15,6.93,18.81,265.48,79.11,5.73,Unknown,Inorganic,10.86,103,5980.83,28.167702,73.787263,0.41,Mild,1
North India,Maize,44.16,5.97,24.02,112.08,69.15,7.88,Drip,Organic,26.1,115,4747.41,19.587386,78.465819,0.66,Healthy,0
North India,Soybean,12.06,6.17,19.7,277.06,89.84,9.64,Drip,Organic,16.41,109,5910.1,19.27253,89.361156,0.64,Mild,1
Central USA,Rice,27.63,7.36,32.56,82.98,55.87,7.18,Sprinkler,Inorganic,10.26,121,5486.72,17.025016,77.211844,0.56,Moderate,1
East Africa,Maize,28.09,6.37,18.3,234.22,64.56,9.7,Unknown,Organic,13.5,101,2143.45,14.088874,79.342657,0.37,Severe,1
