region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed,Heat_Stress,Soil_Health,Water_Amount_Liters,Recommended_Fertilizer,Irrigation_Time,Rain_Impact,Farm_Efficiency
2,2,28.26,8.08,30.42,96.37,79.93,7.39,2,1,33.79,130.93,4707.21,24.99,71.36,0.57,1,1,1,2,20,3,2,0,2
1,1,34.92,7.44,20.32,48.16,40.2,4.11,3,2,28.2,115.55,3160.25,16.33,70.6,0.68,0,0,1,0,20,3,2,0,0
2,1,39.67,6.59,31.58,103.5,40.23,6.57,3,1,37.79,153.15,3163.86,11.77,88.07,0.71,1,0,1,0,10,3,2,0,0
1,1,26.54,5.59,24.07,300.46,69.75,5.52,2,1,46.82,123.37,5252.56,23.23,72.79,0.7,1,1,1,2,20,1,2,0,2
3,1,16.77,5.65,23.28,125.34,92.4,9.28,2,1,45.73,147.6,2166.36,21.6,78.52,0.42,0,1,1,2,30,1,2,0,0
2,2,20.41,7.25,30.72,53.56,86.11,5.57,2,1,15.53,101.33,5558.14,15.83,85.19,0.73,0,1,1,2,20,3,2,0,2
3,3,18.04,7.28,17.91,201.97,53.4,6.03,0,1,9.62,89.64,4521.09,30.23,75.27,0.68,3,1,1,2,30,0,0,0,0
0,0,24.85,5.89,18.87,235.47,77.35,7.64,2,0,24.77,130.27,4326.36,13.72,89.87,0.56,2,1,1,2,20,1,0,0,0
0,1,32.01,6.08,26.5,81.49,60.58,5.62,3,1,37.41,101.71,5287.96,18.75,88.38,0.31,1,0,1,0,20,2,2,0,0
4,2,16.96,7.32,22.33,260.89,79.8,4.56,2,0,16.92,107.56,3295.35,19.83,89.43,0.59,0,1,1,2,30,3,2,0,0
0,1,38.51,5.65,32.06,120.21,37.13,10.1,2,0,47.7,129.0,5009.56,24.98,86.06,0.33,2,1,2,0,10,1,2,0,0
0,4,30.33,6.35,28.88,284.22,54.75,6.62,0,1,43.4,118.56,3786.28,11.06,70.9,1.0,0,0,1,0,20,3,2,0,2
0,3,39.16,6.94,22.83,253.91,59.08,9.54,2,2,8.27,108.15,5451.44,20.64,70.46,0.51,0,1,1,0,10,3,2,0,2
2,2,29.91,6.49,24.8,221.92,63.54,7.82,3,2,8.98,90.26,1910.73,23.35,75.81,0.66,3,1,1,2,20,0,2,0,0
3,3,36.41,6.31,28.51,139.1,54.25,4.52,3,1,3.2,150.12,5414.86,26.26,72.09,0.66,2,0,1,0,10,3,2,0,2
1,0,35.06,6.07,33.55,209.58,78.63,8.14,1,1,23.95,117.41,2451.18,12.95,77.42,0.33,3,1,2,0,10,0,2,0,0
3,0,43.61,6.96,20.15,123.15,42.23,9.32,0,0,22.68,138.49,4444.48,31.09,74.37,0.54,2,0,1,0,10,3,2,0,2
0,1,26.32,7.32,19.23,231.12,53.03,6.33,0,2,29.99,91.62,3186.16,25.85,75.31,0.76,3,0,1,2,20,0,0,0,0
1,1,42.49,5.87,30.0,184.03,56.44,6.31,3,2,32.84,113.39,2088.05,31.94,83.71,0.37,3,0,1,0,10,1,2,0,0
1,0,30.42,5.7,17.57,246.9,78.45,5.66,0,1,25.45,103.78,5115.81,28.97,75.89,0.95,3,1,1,0,20,1,0,0,2
1,0,35.35,6.73,31.25,202.68,82.64,8.65,1,1,27.46,108.95,2476.47,12.98,77.37,0.36,3,1,1,0,10,0,2,0,0
3,2,35.25,6.14,12.67,58.78,75.17,8.2,3,2,31.58,112.05,5646.16,13.84,90.13,0.82,2,1,1,0,10,3,0,0,2
3,0,37.34,6.03,31.0,190.22,81.15,5.27,3,2,29.76,102.77,2877.17,33.57,84.18,0.35,0,0,1,0,10,2,2,0,0
4,2,19.64,7.36,22.0,100.75,85.63,10.53,3,2,21.55,103.25,4803.29,22.81,72.73,0.68,0,1,1,2,30,3,2,0,2
2,1,17.75,5.53,20.74,151.24,53.58,8.14,3,1,41.13,99.51,4782.17,15.82,82.61,0.9,1,1,1,2,30,1,2,0,2
0,0,22.16,5.15,24.72,96.65,93.59,7.17,0,2,36.06,125.17,4664.28,33.8,85.92,0.26,0,1,1,2,20,1,2,0,0
1,3,21.48,7.08,23.93,120.33,44.97,5.23,2,0,4.08,144.75,2641.62,25.62,75.18,0.81,0,1,1,2,20,3,2,0,0
4,2,42.47,6.38,24.56,191.37,40.54,6.33,2,2,24.57,86.67,3260.69,11.72,73.19,0.61,0,0,1,0,10,3,2,0,0
1,4,21.38,7.5,32.14,244.96,73.76,9.11,3,2,10.86,111.09,3766.41,27.77,84.7,0.5,2,1,2,2,20,3,2,0,0
4,1,21.27,5.9,20.32,277.94,83.93,3.79,3,1,19.74,98.78,2425.15,16.11,80.44,0.83,0,1,1,2,20,1,2,0,0
4,1,12.92,6.25,21.83,264.74,78.24,2.83,3,1,18.65,108.45,2339.28,16.09,80.43,0.7,0,1,1,2,30,3,2,0,0
3,0,55.04,5.54,29.8,164.87,61.03,5.45,3,1,11.04,124.22,5158.91,31.69,75.51,0.72,3,0,1,1,5,1,2,0,2
3,3,16.51,7.05,20.28,200.4,62.27,6.02,0,1,10.37,102.91,4557.95,30.03,75.0,0.72,3,1,1,2,30,0,2,0,2
4,1,36.79,7.16,16.52,217.26,72.2,7.97,3,2,11.31,124.48,5019.42,28.67,71.09,0.65,1,0,1,0,10,3,0,0,2
2,4,39.26,6.42,32.81,281.55,40.77,5.01,0,1,7.06,140.48,5199.73,28.61,78.09,0.42,1,0,2,0,10,2,2,0,2
1,3,27.15,7.42,29.31,289.71,83.62,5.46,1,1,5.83,109.93,5045.33,14.81,80.84,0.8,2,1,1,2,20,3,2,0,2
0,2,23.27,5.51,13.16,101.76,44.83,8.57,3,2,0.0,105.75,5765.26,27.61,79.77,0.5,0,1,1,2,20,1,0,0,2
1,4,20.39,6.28,20.68,243.57,75.82,6.63,0,1,3.91,115.38,2790.0,31.0,70.83,0.53,2,1,1,2,20,3,2,0,0
1,1,19.18,6.9,20.63,290.46,66.36,8.73,0,1,24.69,100.93,5042.23,34.49,89.82,0.88,3,1,1,2,30,0,2,0,2
0,2,45.56,6.55,31.82,48.19,79.47,7.64,1,1,8.85,146.51,4337.7,30.24,75.9,0.68,1,0,1,1,10,3,2,0,2
1,0,20.55,7.45,27.71,283.26,34.72,7.92,3,2,25.14,123.39,4412.96,33.16,81.33,0.37,2,1,1,2,20,2,2,0,0
0,3,6.32,7.35,32.85,126.08,88.21,7.35,2,2,9.42,146.28,2348.44,26.19,82.03,0.91,3,1,2,2,30,0,2,0,0
1,3,23.21,6.17,18.48,123.02,68.78,6.54,1,0,22.57,125.11,3799.21,33.91,84.76,0.72,2,1,1,2,20,3,0,0,0
2,1,31.45,6.87,30.02,82.1,60.62,10.2,1,0,38.62,113.42,3510.42,16.52,70.67,0.72,2,1,1,0,20,3,2,0,0
4,2,38.03,5.94,15.46,210.78,60.99,5.32,0,2,38.81,141.34,5212.92,24.16,72.32,0.67,1,0,1,0,10,1,0,0,2
3,1,12.99,6.58,12.99,234.76,51.79,8.41,2,0,3.44,92.99,3111.27,10.71,73.92,0.51,1,1,1,2,30,3,0,0,0
1,2,3.46,6.85,25.3,120.51,76.2,8.6,2,0,25.98,117.48,3082.27,12.3,71.13,0.86,1,1,1,2,30,3,2,0,0
4,4,32.75,6.63,23.66,148.24,59.01,4.81,2,2,23.55,119.8,4867.19,17.95,79.04,0.44,1,0,1,0,20,2,2,0,0
0,1,27.14,7.01,16.39,215.09,55.41,8.25,0,2,35.51,90.06,3382.35,26.05,75.16,0.73,3,0,1,2,20,0,0,0,0
3,3,8.44,5.36,24.87,206.55,47.26,7.01,1,0,44.4,151.99,4394.42,31.14,87.32,0.57,0,1,1,2,30,1,2,0,0
4,3,38.27,6.93,24.55,171.35,84.74,4.44,2,0,36.73,118.25,3456.0,20.7,85.16,0.51,3,0,1,0,10,0,2,0,0
4,4,38.81,6.34,15.85,197.97,86.91,4.83,0,2,31.4,118.59,5379.12,24.6,84.61,0.89,0,0,1,0,10,3,0,0,2
2,4,38.79,6.81,24.01,278.86,91.71,3.84,2,2,25.13,108.05,2511.48,14.18,81.1,0.23,3,0,1,0,10,0,2,0,0
3,3,33.94,7.1,20.73,94.36,66.59,7.13,0,2,26.59,121.92,3410.41,21.91,76.33,0.6,3,0,1,0,20,0,2,0,0
3,0,29.33,7.75,35.27,187.44,70.77,8.79,1,0,26.38,124.09,2286.87,11.51,86.8,0.52,0,1,2,2,20,3,1,0,0
3,0,43.89,6.95,29.88,132.9,76.26,8.42,1,1,5.01,137.84,3036.94,10.6,86.33,0.67,0,0,1,0,10,3,2,0,0
0,4,10.21,6.88,23.02,186.9,54.19,7.67,1,0,8.03,114.59,3185.54,33.64,71.7,0.69,2,1,1,2,30,3,2,0,0
0,0,10.71,6.19,28.38,222.63,70.04,4.97,1,2,35.27,120.93,3782.48,17.68,81.07,0.33,0,1,1,2,30,2,2,0,0
3,1,31.91,6.65,31.7,128.89,77.94,5.13,3,2,39.63,123.31,4650.54,20.5,88.05,0.55,3,0,1,0,20,0,2,0,2
4,0,29.41,6.71,25.8,224.99,83.38,7.56,0,1,4.64,122.89,2111.12,26.26,87.75,0.38,2,1,1,2,20,2,2,0,0
4,1,40.6,7.4,29.02,259.16,54.73,5.81,2,0,35.66,100.91,2670.71,10.86,85.9,0.38,3,0,1,0,10,0,2,0,0
1,3,26.47,6.3,25.04,281.19,53.2,6.17,3,2,30.49,93.66,5543.31,16.55,89.37,0.62,1,1,1,2,20,3,2,0,2
4,4,43.61,6.77,15.19,197.14,81.5,4.54,0,2,27.84,112.58,5490.23,24.41,84.47,0.98,0,0,1,0,10,3,0,0,1
3,1,18.15,7.55,19.63,253.55,69.32,5.15,0,2,15.77,117.74,2154.16,31.89,85.69,0.55,0,1,1,2,30,3,0,0,0
4,3,40.23,6.98,28.26,175.86,79.99,4.55,2,0,39.48,127.07,3536.42,20.6,84.79,0.51,3,0,1,0,10,0,2,0,0
0,3,13.81,6.98,28.47,142.01,92.37,8.36,2,2,9.96,156.11,2244.91,26.18,81.99,0.86,3,1,1,2,30,0,2,0,0
2,0,38.16,6.73,31.53,187.67,59.52,9.56,3,0,17.65,128.61,3376.46,15.6,71.68,0.65,2,1,1,0,10,3,2,0,0
2,3,48.35,5.44,15.05,278.05,95.66,2.96,1,0,36.28,90.62,5331.31,31.25,77.37,0.49,3,0,1,1,10,1,0,0,2
2,2,16.83,7.05,33.4,70.85,84.48,6.29,2,1,8.59,109.27,5668.61,15.31,85.04,0.77,0,1,2,2,30,3,2,0,2
2,0,16.05,5.42,14.31,300.42,54.74,7.85,0,0,46.98,132.25,2713.72,23.6,82.04,0.73,1,1,1,2,30,1,0,0,0
1,2,31.35,6.31,26.18,122.95,44.84,4.99,0,1,11.78,98.37,3974.29,21.97,81.67,0.78,3,1,1,0,20,0,2,0,2
4,2,33.3,6.54,31.62,202.28,43.24,4.4,3,2,43.0,104.35,2936.6,34.98,76.86,0.61,1,0,1,0,20,3,2,0,0
0,3,39.09,6.13,27.07,83.16,77.75,8.93,2,0,10.91,143.53,5826.1,17.01,86.0,0.4,0,0,1,0,10,2,2,0,2
1,0,9.64,7.25,15.71,223.26,75.79,8.76,3,1,42.58,119.7,6014.98,22.22,82.27,0.82,3,1,1,2,30,0,0,0,2
3,2,27.18,7.79,28.08,181.09,72.16,4.67,3,0,9.57,143.91,4879.11,10.7,74.32,0.43,3,0,1,2,20,0,2,0,0
2,2,30.04,6.65,23.36,268.87,65.87,7.73,1,0,56.24,116.03,3518.24,28.54,70.58,0.44,0,1,1,0,20,2,2,0,0
1,4,11.81,5.56,18.15,94.39,50.25,5.84,0,0,41.82,112.93,4296.0,22.43,86.74,0.74,0,1,1,2,30,1,0,0,0
1,4,11.0,7.77,30.1,95.56,42.08,6.56,2,0,8.37,145.78,5848.6,32.51,74.24,0.48,0,1,1,2,30,2,2,0,0
0,0,16.93,7.21,23.23,142.2,50.91,5.88,3,1,9.45,144.89,5909.35,17.23,86.0,0.79,3,1,1,2,30,0,2,0,2
4,2,27.02,5.93,29.5,230.73,43.24,4.99,3,2,39.33,107.55,2858.66,34.95,77.02,0.43,1,0,1,2,20,1,2,0,0
2,3,10.4,6.18,17.27,284.73,99.81,9.6,0,2,16.51,97.32,5781.5,19.2,89.35,0.57,1,1,1,2,30,3,0,0,2
4,2,36.81,6.09,17.87,218.26,56.01,4.24,0,2,39.4,148.75,5190.24,24.19,72.17,0.65,1,0,1,0,10,3,0,0,2
1,3,14.15,7.42,22.35,286.94,72.58,4.53,0,1,18.11,101.41,5893.01,13.98,72.71,0.47,0,1,1,2,30,2,2,0,2
0,1,9.6,5.44,38.02,248.67,69.55,7.47,0,1,22.86,100.36,4681.87,29.92,82.36,0.54,0,1,2,2,30,1,1,0,0
0,0,17.67,6.37,27.14,299.32,65.62,5.99,1,2,14.54,149.49,3142.05,32.81,80.31,0.67,1,1,1,2,30,3,2,0,0
0,2,35.32,6.08,31.66,47.09,74.2,8.88,1,2,23.79,110.63,5060.5,23.28,76.18,0.31,0,1,1,0,10,2,2,0,0
2,0,11.12,7.79,35.12,242.71,44.35,5.94,3,2,52.34,139.58,4161.98,32.59,88.31,0.3,3,1,2,2,30,0,1,0,0
1,4,34.28,6.24,29.79,119.72,34.42,3.84,0,1,31.67,94.82,4688.82,10.9,85.78,0.53,2,0,1,0,20,3,2,0,2
0,2,23.18,6.93,21.03,49.68,55.31,6.76,3,0,33.88,97.7,3307.0,28.48,88.76,0.77,1,1,1,2,20,3,2,0,0
4,3,14.91,6.23,22.1,210.51,70.54,6.81,2,1,12.53,92.07,3178.83,25.61,87.55,0.93,3,1,1,2,30,0,2,0,0
4,3,38.97,6.9,18.97,233.56,60.78,8.24,3,1,15.12,101.78,4125.67,27.46,87.81,0.7,3,0,1,0,10,0,0,0,2
3,1,26.38,7.45,15.99,287.55,85.37,3.36,0,0,13.69,100.62,4704.84,10.23,79.18,0.92,0,1,1,2,20,3,0,0,2
0,4,18.23,6.51,26.7,79.24,51.2,4.95,0,2,21.77,107.28,2823.96,16.38,84.96,0.79,2,1,1,2,30,3,2,0,0
0,0,18.47,7.02,24.02,141.73,84.34,6.69,1,1,19.9,124.31,4954.74,13.14,78.33,0.84,1,1,1,2,30,3,2,0,2
3,3,41.94,6.77,25.08,205.29,51.73,7.62,3,0,18.49,113.14,2612.77,15.61,77.37,0.37,0,0,1,0,10,2,2,0,0
2,2,32.97,7.67,32.74,89.77,85.66,8.43,2,1,34.66,120.58,4695.9,25.04,71.26,0.55,1,1,2,0,20,3,2,0,2
1,2,22.83,6.49,25.55,292.07,46.07,5.42,3,0,34.09,105.59,4197.4,27.59,88.58,0.6,2,0,1,2,20,3,2,0,0
0,0,11.52,5.7,16.92,239.22,61.61,8.22,2,0,21.28,131.3,4408.49,13.49,89.68,0.51,2,1,1,2,30,1,0,0,0
4,2,21.21,5.92,12.99,65.78,84.02,4.58,3,0,51.4,100.19,2774.82,19.11,75.88,0.36,0,1,1,2,20,1,0,0,0
2,4,21.48,6.13,27.8,215.42,77.83,6.93,2,1,44.98,138.81,5076.88,21.0,84.44,0.6,3,1,1,2,20,0,2,0,2
0,4,11.67,6.79,26.01,73.62,52.97,5.73,0,2,23.57,111.04,2744.08,16.27,84.93,0.78,2,1,1,2,30,3,2,0,0
2,4,3.84,6.06,20.47,63.92,84.52,8.74,3,0,22.67,108.38,1943.74,12.93,70.44,0.72,0,1,1,2,30,3,2,0,0
4,0,25.07,6.91,17.36,234.75,83.64,3.86,3,2,10.28,113.26,2298.12,32.58,72.5,0.41,3,1,1,2,20,0,0,0,0
3,4,30.23,5.67,23.33,53.71,79.09,4.78,3,2,37.43,106.45,5688.89,18.22,82.79,0.55,1,0,1,0,20,1,2,0,2
2,4,8.09,6.6,24.27,143.33,51.82,8.28,1,1,47.35,95.64,4766.38,23.85,76.32,0.53,2,1,1,2,30,3,2,0,0
1,0,18.09,7.0,20.04,245.35,80.63,3.87,0,1,10.48,121.78,2382.26,31.72,80.89,0.7,3,1,1,2,30,0,2,0,0
2,2,15.6,6.79,10.02,225.03,63.2,3.79,0,0,15.32,133.95,4004.09,11.47,80.15,0.38,3,1,1,2,30,0,0,0,0
3,4,6.34,6.58,30.42,178.16,83.04,9.5,1,0,25.44,105.22,3761.73,35.08,72.36,0.75,1,1,1,2,30,3,2,0,0
0,0,43.07,7.11,34.96,222.35,80.37,9.97,3,2,21.68,91.03,2405.77,28.66,88.81,0.76,0,0,2,0,10,3,1,0,0
2,4,7.67,6.19,21.59,73.63,74.01,8.78,3,0,31.09,106.45,2057.02,12.99,69.97,0.76,0,1,1,2,30,3,2,0,0
1,4,19.15,6.21,24.91,235.9,76.47,6.07,0,1,9.35,121.78,3074.26,31.09,71.12,0.48,2,1,1,2,30,2,2,0,0
4,1,23.41,6.26,18.83,270.51,70.52,3.89,3,1,24.6,96.05,2333.45,16.05,80.52,0.77,0,1,1,2,20,3,0,0,0
0,2,29.62,7.17,33.03,70.95,60.05,8.3,2,0,12.74,116.38,5425.58,16.88,77.18,0.62,2,1,2,2,20,3,2,0,2
0,4,14.19,6.19,20.46,240.97,41.28,2.86,3,1,27.53,89.1,2925.93,12.68,82.31,0.87,0,1,1,2,30,3,2,0,0
1,3,28.23,7.46,32.14,220.72,77.14,7.64,3,2,40.87,114.16,5087.0,16.81,85.73,0.56,1,0,2,2,20,3,2,0,2
3,1,38.21,6.89,29.9,258.88,52.74,8.96,1,2,35.3,101.58,5829.1,11.77,80.19,0.58,3,1,1,0,10,0,2,0,2
4,0,32.67,7.06,31.08,303.12,61.96,5.86,0,0,14.88,129.89,5068.1,26.81,74.26,0.46,2,1,1,0,20,2,2,0,2
2,1,24.54,5.85,30.75,202.78,48.82,4.53,1,2,49.24,124.29,3628.93,20.9,78.71,0.69,1,1,1,2,20,1,2,0,0
4,1,14.41,6.96,28.71,89.37,80.95,8.8,2,1,22.13,120.37,5717.67,10.09,80.59,0.67,0,1,1,2,30,3,2,0,2
0,4,16.11,6.14,17.77,240.07,32.78,5.1,3,1,33.06,96.95,3009.31,12.52,82.34,1.0,0,1,1,2,30,3,0,0,0
4,0,20.55,6.88,15.36,232.11,78.97,4.79,3,2,9.87,121.18,1960.26,33.06,72.45,0.4,3,1,1,2,20,0,0,0,0
1,2,28.15,5.33,17.99,222.16,73.51,8.02,3,2,22.98,102.22,6077.09,17.14,84.95,0.61,1,1,1,2,20,1,0,0,2
4,0,26.53,6.77,29.18,218.59,83.29,6.95,0,1,5.64,126.06,2095.52,26.52,87.64,0.52,2,1,1,2,20,3,2,0,0
1,0,26.4,7.13,24.21,283.66,50.64,8.74,3,2,22.66,127.54,4377.45,32.81,81.21,0.33,2,1,1,2,20,2,2,0,0
2,4,17.87,6.2,21.26,231.11,78.95,8.75,3,1,42.13,99.21,4245.85,10.42,88.34,0.59,2,1,1,2,30,3,2,0,0
1,3,20.76,6.68,24.56,246.87,88.53,4.71,1,2,6.95,134.83,5029.47,29.61,89.76,0.51,2,1,1,2,20,3,2,0,0
4,1,34.32,5.6,22.66,92.54,86.25,8.03,0,2,41.79,97.09,3456.41,21.16,73.61,0.59,1,0,1,0,20,1,2,0,0
2,0,25.11,7.28,34.96,143.35,63.9,4.15,1,2,31.47,106.89,5535.99,27.76,77.2,0.7,1,1,2,2,20,3,1,0,2
4,4,22.32,6.39,24.58,86.89,52.34,7.4,1,0,32.65,140.23,5590.37,14.03,74.88,0.43,2,1,1,2,20,2,2,0,0
2,1,27.39,7.05,19.58,223.59,53.73,7.41,0,1,18.12,126.56,3729.79,19.7,76.31,0.91,0,1,1,2,20,3,0,0,2
1,4,35.04,5.73,29.9,134.37,84.76,7.75,3,0,16.47,133.58,3705.18,28.18,73.47,0.49,0,1,1,0,10,1,2,0,0
2,1,15.46,5.73,27.84,197.94,53.25,5.27,1,2,46.15,147.25,3570.0,20.85,78.45,0.71,1,1,1,2,30,1,2,0,0
0,0,17.9,7.27,22.7,141.52,48.63,5.26,3,1,9.33,140.78,6043.41,17.09,86.33,0.89,3,1,1,2,30,0,2,0,2
4,4,34.52,5.97,14.29,149.02,60.76,8.68,2,2,20.96,117.15,3850.89,17.74,75.23,0.44,2,0,1,0,20,1,0,0,0
0,1,14.79,6.16,35.83,216.45,75.69,5.21,2,2,24.89,134.09,4119.84,31.28,85.59,0.48,0,1,2,2,30,2,1,0,0
2,4,25.84,6.01,27.61,274.91,68.22,6.71,2,2,26.91,110.7,5150.6,11.15,88.0,0.63,2,1,1,2,20,3,2,0,2
0,2,34.12,6.84,21.07,85.72,66.18,5.33,1,0,45.93,140.7,1889.43,30.96,89.0,0.35,3,0,1,0,20,0,2,0,0
0,2,30.56,6.16,27.08,241.09,44.02,7.81,2,2,51.9,125.98,2357.72,13.14,70.8,0.88,1,1,1,0,20,3,2,0,0
2,3,37.22,5.83,22.79,183.52,54.52,9.03,1,1,13.97,118.63,5626.4,11.12,70.93,0.88,0,1,1,0,10,1,2,0,2
4,2,40.49,5.4,14.39,144.68,72.9,3.53,3,2,33.27,98.92,2948.18,14.68,87.83,0.69,2,0,1,0,10,1,0,0,0
2,1,25.36,5.95,22.79,282.7,62.78,4.13,3,0,39.1,140.73,2362.92,11.82,82.01,0.82,2,1,1,2,20,1,2,0,0
4,3,28.15,6.29,25.06,79.59,43.65,6.21,1,1,10.91,96.01,3035.35,34.8,80.8,0.65,2,0,1,2,20,3,2,0,0
2,2,25.01,7.4,30.43,65.79,80.1,5.46,2,1,14.41,102.05,5435.45,15.23,85.13,0.69,0,1,1,2,20,3,2,0,2
1,0,16.13,6.26,21.36,223.93,76.71,7.06,2,0,24.96,129.04,4356.08,23.35,74.85,0.53,3,1,1,2,30,0,2,0,0
1,3,35.44,5.95,18.59,62.66,58.79,4.37,0,1,33.29,110.87,5593.5,12.96,89.46,0.37,2,0,1,0,10,1,0,0,2
0,4,16.66,6.44,20.01,207.33,65.36,9.02,1,0,6.14,116.6,3079.23,33.83,71.55,0.75,2,1,1,2,30,3,2,0,0
2,2,29.58,5.57,31.03,232.47,58.15,8.23,1,2,24.14,116.66,2853.44,16.99,80.96,0.7,1,1,1,2,20,1,2,0,0
3,0,31.34,5.11,26.65,220.77,76.81,3.58,3,2,43.46,120.92,2771.26,26.43,81.33,0.7,1,0,1,0,20,1,2,0,0
2,2,12.23,6.36,20.84,203.58,52.11,7.75,2,2,10.01,94.29,2694.81,22.94,85.74,0.68,1,1,1,2,30,3,2,0,0
0,0,27.69,5.55,17.03,164.44,78.96,4.73,1,1,29.39,114.77,5182.63,12.68,81.06,0.29,2,1,1,2,20,1,0,0,0
3,3,12.11,5.85,22.81,135.59,51.07,5.47,2,0,24.38,106.37,2347.58,17.77,83.63,0.62,1,1,1,2,30,1,2,0,0
1,0,29.5,7.3,32.44,154.76,37.32,10.22,0,2,39.79,114.63,2646.13,11.16,89.37,0.72,3,1,2,2,20,0,2,0,0
2,1,16.24,6.55,22.62,280.89,51.82,4.77,3,0,43.89,150.06,2042.77,11.7,82.24,0.81,2,1,1,2,30,3,2,0,0
0,3,0.0,7.29,29.81,145.38,89.48,7.38,2,2,2.94,146.41,2055.09,26.29,81.28,0.87,3,1,1,2,30,0,2,0,0
1,1,14.83,6.88,24.23,181.1,56.85,7.32,2,0,24.05,111.18,5952.96,23.49,71.43,0.65,1,1,1,2,30,3,2,0,2
2,1,19.93,5.5,31.83,75.37,79.41,6.22,2,2,22.67,144.42,4434.02,31.3,72.77,0.39,2,1,1,2,30,1,2,0,0
1,1,24.61,5.55,27.9,192.22,50.57,4.61,3,2,30.46,111.2,2347.46,32.03,83.77,0.41,3,0,1,2,20,1,2,0,0
0,3,20.26,6.28,17.73,69.59,67.89,10.27,0,0,32.91,132.54,3249.81,16.11,81.56,0.71,1,1,1,2,20,3,0,0,0
0,0,23.55,6.58,18.94,196.46,43.17,9.21,0,1,36.78,98.25,5295.55,15.36,74.02,0.54,1,1,1,2,20,3,0,0,2
3,3,13.07,6.74,23.46,194.53,65.49,8.56,2,0,19.83,104.79,5814.27,20.03,87.37,0.32,2,1,1,2,30,2,2,0,0
1,4,53.15,6.45,27.42,162.93,46.89,7.7,3,1,32.45,102.07,3110.02,28.33,86.02,0.37,3,0,1,1,5,0,2,0,0
0,0,17.74,5.29,17.99,183.59,92.88,7.11,0,1,0.0,103.08,5356.94,13.49,72.6,0.73,1,1,1,2,30,1,0,0,2
2,2,21.6,6.17,24.45,283.64,81.17,8.38,1,0,7.27,128.82,2508.58,29.86,84.01,0.36,3,1,1,2,20,0,2,0,0
3,4,19.0,7.03,32.58,279.14,76.11,9.42,2,0,29.35,117.0,3397.36,14.64,81.96,0.7,1,1,2,2,30,3,2,0,0
1,1,39.72,6.23,29.03,189.97,50.26,5.21,0,1,29.52,96.17,2692.27,28.14,82.47,0.81,0,0,1,0,10,3,2,0,0
2,3,25.61,7.51,29.97,144.69,83.74,7.56,3,1,8.55,90.37,4094.98,21.58,72.32,0.93,3,1,1,2,20,0,2,0,2
2,3,40.91,7.32,23.18,120.48,48.4,4.96,1,1,44.74,148.98,4616.04,25.09,73.34,0.73,0,0,1,0,10,3,2,0,2
1,3,35.75,6.22,25.42,124.69,73.09,6.74,1,0,18.68,144.06,2949.92,23.03,73.77,0.51,3,0,1,0,10,0,2,0,0
2,3,41.43,6.84,22.09,226.36,77.93,8.69,3,2,32.42,126.79,2542.93,17.9,82.62,0.44,0,0,1,0,10,2,2,0,0
4,4,25.69,6.52,20.24,232.26,89.18,9.12,0,1,13.03,90.2,5292.95,33.36,89.31,0.35,1,1,1,2,20,2,2,0,0
1,0,38.37,5.54,15.72,236.21,73.98,6.73,3,0,43.28,131.45,2474.18,29.5,84.13,0.82,2,0,1,0,10,1,0,0,0
0,1,35.7,7.39,23.77,83.06,69.42,4.08,3,1,39.93,109.31,5130.26,19.06,88.83,0.35,1,0,1,0,10,2,2,0,0
4,3,34.86,6.82,30.89,169.38,82.56,5.01,2,0,35.09,132.27,3495.77,20.52,84.88,0.55,3,0,1,0,20,0,2,0,0
0,2,23.34,6.95,29.24,302.22,48.03,7.43,2,1,16.1,146.66,4126.31,33.63,88.39,0.25,2,1,1,2,20,2,2,0,0
4,2,16.76,7.68,23.55,110.9,90.59,10.65,3,2,13.48,97.35,4850.5,22.52,72.54,0.68,0,1,1,2,30,3,2,0,2
4,3,24.92,6.79,29.18,268.07,70.18,3.83,0,2,50.02,132.72,2410.15,11.99,71.52,0.6,0,1,1,2,20,3,2,0,0
1,3,19.6,6.65,35.64,149.47,46.96,3.98,3,0,28.55,112.32,4955.1,28.27,72.11,0.84,1,1,2,2,30,3,1,0,2
3,3,12.38,6.0,23.15,280.75,46.9,10.32,1,0,51.13,153.5,4696.79,17.71,89.0,0.58,2,1,1,2,30,3,2,0,0
1,4,45.9,6.31,28.35,158.04,52.94,8.31,3,1,21.15,104.18,2855.36,27.81,85.84,0.36,3,0,1,1,10,0,2,0,0
3,0,40.25,7.11,29.6,141.23,74.83,6.61,1,1,10.46,130.46,3117.35,11.12,86.29,0.76,0,0,1,0,10,3,2,0,0
0,1,31.28,7.02,23.63,102.53,61.68,6.25,3,1,35.02,104.43,5418.88,18.92,88.29,0.47,1,0,1,0,20,2,2,0,2
2,4,13.1,6.21,23.65,131.56,44.03,8.93,1,1,46.85,102.22,5134.73,23.92,76.47,0.61,2,1,1,2,30,3,2,0,0
1,4,42.7,6.47,30.26,167.21,49.42,7.45,3,1,30.17,99.71,3057.56,27.88,85.81,0.27,3,0,1,0,10,0,2,0,0
2,0,16.48,7.75,24.14,229.58,63.63,5.48,3,2,23.74,110.13,3986.17,10.63,82.35,0.45,2,1,1,2,30,2,2,0,0
